accession_id	flesh_color	watermelon_mosaic	maturity	flesh_depth	diam	len	set	plant_habit	PM	ribbing	uniformity	fruit_spot	vig	fruit_color	cuc_mosaic
PI_169406	4 – MEDIUM ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	41	1.5	32	25	3 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	6 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	7 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	9 – EXCELLENT	1 – GRAY	2 – (1 = SLIGHT,  9 = SEVERE)
PI_169407	4 – MEDIUM ORANGE	3 – (1 = SLIGHT,  9 = SEVERE)	44	4	NA	NA	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	7 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_169411	4 – MEDIUM ORANGE	4 – (1 = SLIGHT,  9 = SEVERE)	46	2.4	30	15	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	8 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN	NA
PI_169419	3 – PALE ORANGE	6 – (1 = SLIGHT,  9 = SEVERE)	41	1.5	28	20	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	4 – (1 = SLIGHT,  9 = SEVERE)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	4 – (1 = POOR,  9 = EXCELLENT)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	3 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	NA
PI_169433	4 – MEDIUM ORANGE	6 – (1 = SLIGHT,  9 = SEVERE)	44	2	30	23	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	5 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	5 – (1 = POOR,  9 = EXCELLENT)	NA	8 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	2 – (1 = SLIGHT,  9 = SEVERE)
PI_169439	OR – ORANGE; 3 – PALE ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	52	1.5	28	19	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	3 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	5 – (1 = POOR,  9 = EXCELLENT)	NA	5 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	NA
PI_169440	2 – YELLOW-ORANGE; OR – ORANGE	1 – SLIGHT	27	5	44	36	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	NA	7 – (1 = POOR,  9 = EXCELLENT)	NA	7 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	NA
PI_169455	OR – ORANGE; 4 – MEDIUM ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	45	NA	NA	NA	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	7 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	9 – EXCELLENT	1 – GRAY	NA
PI_169466	5 – DARK ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	40	1.5	23	18	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	3 – (1 = SLIGHT,  9 = SEVERE)
PI_169471	5 – DARK ORANGE	4 – (1 = SLIGHT,  9 = SEVERE)	46	1.5	23	19	4 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	4 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	3 – (1 = POOR,  9 = EXCELLENT)	NA	7 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	2 – (1 = SLIGHT,  9 = SEVERE)
PI_171614	YE – YELLOW; 5 – DARK ORANGE	4 – (1 = SLIGHT,  9 = SEVERE)	44	3.5	25	18	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	7 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN	NA
PI_171615	OR – ORANGE; 4 – MEDIUM ORANGE	1 – SLIGHT	NA	3.5	37	22	4 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	3 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	6 – (1 = POOR,  9 = EXCELLENT)	NA	6 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	NA
PI_171616	5 – DARK ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	56	1.5	27	20	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	3 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	7 – (1 = POOR,  9 = EXCELLENT)	NA	9 – EXCELLENT	1 – GRAY	1 – SLIGHT
PI_171617	5 – DARK ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	52	1.5	21	17	3 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	4 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	2 – (1 = SLIGHT,  9 = SEVERE)
PI_171618	5 – DARK ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	43	1.5	20	16	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	4 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	7 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	2 – (1 = SLIGHT,  9 = SEVERE)
PI_171624	5 – DARK ORANGE	6 – (1 = SLIGHT,  9 = SEVERE)	52	1	21	13	2 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	3 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	2 – (1 = SLIGHT,  9 = SEVERE)
PI_172853	5 – DARK ORANGE	6 – (1 = SLIGHT,  9 = SEVERE)	60	2	17	13	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	8 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN	NA
PI_172854	4 – MEDIUM ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	51	2.8	13	13	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	7 – (1 = POOR,  9 = EXCELLENT)	NA	6 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN	1 – SLIGHT
PI_172869	2 – YELLOW-ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)	57	2	18	30	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	3 – (1 = POOR,  9 = EXCELLENT)	NA	9 – EXCELLENT	1 – GRAY	2 – (1 = SLIGHT,  9 = SEVERE)
PI_173679	4 – MEDIUM ORANGE; OR – ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	50	3.5	24	18	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	6 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	NA
PI_174181	CR – CREAM; 6 – LIGHT GREEN	1 – SLIGHT	NA	2.2	38	20	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	1 – SLIGHT	3 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	NA
PI_174191	3 – PALE ORANGE	6 – (1 = SLIGHT,  9 = SEVERE)	51	2	30	28	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	7 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	NA
PI_174821	OR – ORANGE; 3 – PALE ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	56	2	20	19	3 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	4 – (1 = SLIGHT,  9 = SEVERE)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	4 – (1 = POOR,  9 = EXCELLENT)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN	1 – SLIGHT
PI_174823	OR – ORANGE; 4 – MEDIUM ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	45	2.5	28	16	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	5 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	4 – (1 = POOR,  9 = EXCELLENT)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	4 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_175124	4 – MEDIUM ORANGE	3 – (1 = SLIGHT,  9 = SEVERE)	55	2	28	24	4 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	5 – (1 = SLIGHT,  9 = SEVERE)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	9 – EXCELLENT	1 – GRAY	2 – (1 = SLIGHT,  9 = SEVERE)
PI_175125	5 – DARK ORANGE; OR – ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	63	3	20	38	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	3 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN	NA
PI_175126	4 – MEDIUM ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	47	2	28	35	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	6 – (1 = SLIGHT,  9 = SEVERE)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	NA	9 – EXCELLENT	1 – GRAY	3 – (1 = SLIGHT,  9 = SEVERE)
PI_175698	4 – MEDIUM ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)	57	1.5	30	25	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	NA	9 – EXCELLENT	2 – WHITE	2 – (1 = SLIGHT,  9 = SEVERE)
PI_175701	3 – PALE ORANGE	NA	NA	1.5	32	23	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	5 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	NA	NA	7 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	NA
PI_175703	4 – MEDIUM ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	51	1.5	24	19	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	NA	3 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	1 – SLIGHT
PI_176527	4 – MEDIUM ORANGE; OR – ORANGE	4 – (1 = SLIGHT,  9 = SEVERE)	40	1	24	14	3 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	8 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	7 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	2 – (1 = POOR,  9 = EXCELLENT)	4 – TAN	5 – (1 = SLIGHT,  9 = SEVERE)
PI_176528	NA	8 – (1 = SLIGHT,  9 = SEVERE)	41	4	21	20	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	8 – (1 = SLIGHT,  9 = SEVERE)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_176529	3 – PALE ORANGE	9 – SEVERE	35	3	25	19	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	8 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	7 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_176530	3 – PALE ORANGE	4 – (1 = SLIGHT,  9 = SEVERE)	42	1	23	21	3 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	4 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN	3 – (1 = SLIGHT,  9 = SEVERE)
PI_176960	OR – ORANGE; 3 – PALE ORANGE	NA	34	3.7	40	22	4 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	4 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_177365	OR – ORANGE	9 – SEVERE	34	3.5	26	21	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	8 – (1 = SLIGHT,  9 = SEVERE)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_177366	OR – ORANGE; 4 – MEDIUM ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)	52	4	26	20	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	6 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_177367	2 – YELLOW-ORANGE; YE – YELLOW	3 – (1 = SLIGHT,  9 = SEVERE)	42	3	30	20	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	5 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE	NA
PI_178889	4 – MEDIUM ORANGE	NA	NA	1.5	24	18	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	9 – SEVERE	2 – (1 = SLIGHT,  9 = PRONOUNCED)	NA	NA	8 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN	NA
PI_178890	4 – MEDIUM ORANGE	9 – SEVERE	35	3.3	27	20	4 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	9 – SEVERE	7 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_178891	4 – MEDIUM ORANGE	3 – (1 = SLIGHT,  9 = SEVERE)	44	4	NA	NA	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	7 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_178892	4 – MEDIUM ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	43	4.5	35	27	3 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	5 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN	NA
PI_178893	4 – MEDIUM ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)	48	3	34	25	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	7 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	9 – EXCELLENT	1 – GRAY	NA
PI_178894	3 – PALE ORANGE	8 – (1 = SLIGHT,  9 = SEVERE)	37	7.5	24	17	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	9 – SEVERE	3 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	NA
PI_179265	3 – PALE ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)	43	4	25	22	9 – EXCELLENT	2 – VINE	NA	4 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	8 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	NA
PI_179272	1 – YELLOW	1 – SLIGHT	42	1.5	36	25	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	7 – (1 = POOR,  9 = EXCELLENT)	NA	2 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	1 – SLIGHT
PI_181751	1 – YELLOW; YE – YELLOW	1 – SLIGHT	42	3	25	21	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	8 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_181762	1 – YELLOW	7 – (1 = SLIGHT,  9 = SEVERE)	NA	1.5	28	21	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	NA	NA	5 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN	NA
PI_181877	1 – YELLOW	2 – (1 = SLIGHT,  9 = SEVERE)	42	1	26	18	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	6 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	NA	3 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	4 – (1 = SLIGHT,  9 = SEVERE)
PI_181879	4 – MEDIUM ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	47	3.8	25	21	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	6 – (1 = SLIGHT,  9 = SEVERE)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_181911	4 – MEDIUM ORANGE	1 – SLIGHT	55	3.5	38; 39	30	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	6 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	3 – GRAY	NA
PI_181943	1 – YELLOW; YE – YELLOW	4 – (1 = SLIGHT,  9 = SEVERE)	42	2	30	25	4 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	6 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	6 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	3 – (1 = SLIGHT,  9 = SEVERE)
PI_182195	5 – DARK ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)	42	1.5	21	9	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	5 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	7 – (1 = POOR,  9 = EXCELLENT)	NA	5 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	3 – (1 = SLIGHT,  9 = SEVERE)
PI_183259	YE – YELLOW; 2 – YELLOW-ORANGE	3 – (1 = SLIGHT,  9 = SEVERE)	42	2	38	42	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	6 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	4 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	NA
PI_183314	OR – ORANGE; 5 – DARK ORANGE	3 – (1 = SLIGHT,  9 = SEVERE)	41	1.5	19	14	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	8 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	8 – (1 = POOR,  9 = EXCELLENT)	NA	7 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE	NA
PI_183679	5 – DARK ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)	43	2	30	29	3 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	6 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	7 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	9 – EXCELLENT	1 – GRAY	2 – (1 = SLIGHT,  9 = SEVERE)
PI_184745	3 – PALE ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	40	1.5	20	29	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	5 – (1 = POOR,  9 = EXCELLENT)	NA	5 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE	1 – SLIGHT
PI_186488	4 – MEDIUM ORANGE	4 – (1 = SLIGHT,  9 = SEVERE)	57	1.5	20	15	1 – POOR	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	4 – (1 = POOR,  9 = EXCELLENT)	NA	5 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	NA
PI_188694	3 – PALE ORANGE	3 – (1 = SLIGHT,  9 = SEVERE)	58	2	30	29	2 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	5 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	9 – EXCELLENT	1 – GRAY	1 – SLIGHT
PI_193500	1 – YELLOW	4 – (1 = SLIGHT,  9 = SEVERE)	53	2	48	60	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	6 – (1 = SLIGHT,  9 = SEVERE)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	3 – (1 = POOR,  9 = EXCELLENT)	NA	9 – EXCELLENT	3 – ORANGE	3 – (1 = SLIGHT,  9 = SEVERE)
PI_194268	4 – MEDIUM ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	56	2	32	26	3 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	6 – (1 = POOR,  9 = EXCELLENT)	NA	8 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	1 – SLIGHT
PI_195929	1 – YELLOW	5 – (1 = SLIGHT,  9 = SEVERE)	NA	2	25	23	3 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	5 – (1 = SLIGHT,  9 = PRONOUNCED)	NA	NA	8 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN	NA
PI_198672	NA	8 – (1 = SLIGHT,  9 = SEVERE)	39	2.2	18	12	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	9 – SEVERE	2 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	6 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE	NA
PI_199031	4 – MEDIUM ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)	50	3.5	24	25	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	5 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	9 – PRONOUNCED	7 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	NA
PI_199032	2 – YELLOW-ORANGE	1 – SLIGHT	57	1.5	37	27	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	3 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	4 – (1 = POOR,  9 = EXCELLENT)	NA	9 – EXCELLENT	1 – GRAY	2 – (1 = SLIGHT,  9 = SEVERE)
PI_199033	1 – YELLOW	3 – (1 = SLIGHT,  9 = SEVERE)	58	1.5	38	32	3 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	NA	7 – (1 = POOR,  9 = EXCELLENT)	NA	2 – (1 = SLIGHT,  9 = SEVERE)
PI_211989	4 – MEDIUM ORANGE	3 – (1 = SLIGHT,  9 = SEVERE)	46	3.5	31	25	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	6 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_211990	4 – MEDIUM ORANGE; OR – ORANGE	1 – SLIGHT	42	4	30	31	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	1 – SLIGHT	2 – (1 = SLIGHT,  9 = PRONOUNCED)	4 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	NA
PI_211991	3 – PALE ORANGE	3 – (1 = SLIGHT,  9 = SEVERE)	43	1.5	28	22	4 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	8 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	3 – (1 = POOR,  9 = EXCELLENT)	NA	5 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	3 – (1 = SLIGHT,  9 = SEVERE)
