ACCESSION	GROWTH HABIT	PLANT UNIFORMITY	PLANT VIGOR	FRUIT SHAPE	FRUIT LENGTH	FRUIT WEIGHT	FLESH DEPTH	FRUIT DIAMETER	MATURITY	FLESH COLOR	FRUIT SPOTTING	FRUIT SET	FRUIT COLOR	FRUIT SURFACE	UNIFORMITY OF FRUIT SIZE	UNIFORMITY OF FRUIT COLOR	UNIFORMITY OF FRUIT SHAPE	UNIFORMITY OF FRUIT SURFACE	VINE-LENGTH	SEED CAVITY COLOR	RIND STRIPE COLOR	POWDERY MILDEW	WEIGHT OF 100 SEEDS	100 SEED WEIGHT	FRUIT RIBBING	UNIFORMITY	PLANT HABIT	DAYS TO POLLINATION	FRUIT SURFACE COLOR	FRUIT SURFACE PATTERN	PLANT TYPE	FRUIT SKIN TEXTURE	CUCUMBER BEETLE INJURY	MINIMUM PLANT VIGOR	MAXIMUM PLANT VIGOR	FRUIT WIDTH MINIMUM	FLESH THICKNESS MAXIMUM	SQUASHBUG ADULT	SQUASHBUG NYMPH	FRUIT WIDTH MAXIMUM	FRUIT LENGTH MAXIMUM	FRUIT LENGTH MINIMUM	DOWNY MILDEW	FLESH THICKNESS MINIMUM	WATERMELON MOSAIC
PI 438807	2 – VINE	9 – EXCELLENT	9 – EXCELLENT	5 – OBLATE	16	1	3	16		2 – YELLOW-ORANGE	1 – SLIGHT	1 – POOR	1 – ORANGE	9 – FURROWED				1 – VERY UNIFORM																											
PI 438815	2 – VINE			5 – OBLATE	8	2	6	18		5 – DARK ORANGE	5 – (1 = SLIGHT, 9 = PRONOUNCED)	5 – (1 = POOR, 9 = EXCELLENT)	3 – GRAY	9 – FURROWED	1 – VERY UNIFORM	1 – VERY UNIFORM	1 – VERY UNIFORM	1 – VERY UNIFORM																											
PI 438816	2 – VINE		9 – EXCELLENT	5 – OBLATE	6	3	6	22	8 – LATE	5 – DARK ORANGE	1 – SLIGHT	2 – (1 = POOR, 9 = EXCELLENT)	6 – GREEN	9 – FURROWED				1 – VERY UNIFORM																											
PI 438825	2 – VINE		8 – (1 = POOR, 9 = EXCELLENT)	6 – OVAL	20	3.8	3	19		4 – MEDIUM ORANGE	3 – (1 = SLIGHT, 9 = PRONOUNCED)	7 – (1 = POOR, 9 = EXCELLENT)	7 – TAN	9 – FURROWED	1 – VERY UNIFORM	1 – VERY UNIFORM	1 – VERY UNIFORM	1 – VERY UNIFORM																											
PI 438827	2 – VINE		9 – EXCELLENT	7 – VARIABLE	20	6	5	25	8 – LATE	5 – DARK ORANGE	9 – PRONOUNCED	6 – (1 = POOR, 9 = EXCELLENT)	7 – TAN	9 – FURROWED				2 – SOMEWHAT UNIFORM																											
PI 441723	2 – VINE			8 – ACORN	26	7	4	26		5 – DARK ORANGE	5 – (1 = SLIGHT, 9 = PRONOUNCED)	5 – (1 = POOR, 9 = EXCELLENT)	6 – GREEN	9 – FURROWED	2 – SOMEWHAT UNIFORM	1 – VERY UNIFORM	2 – SOMEWHAT UNIFORM	1 – VERY UNIFORM																											
PI 441725	2 – VINE		9 – EXCELLENT	2 – ELONGATE	26	3.3	4	18		5 – DARK ORANGE	1 – SLIGHT	6 – (1 = POOR, 9 = EXCELLENT)	7 – TAN	9 – FURROWED	1 – VERY UNIFORM	2 – SOMEWHAT UNIFORM	2 – SOMEWHAT UNIFORM	1 – VERY UNIFORM																											
PI 441726				6 – OVAL	14			13	8 – LATE					1 – SMOOTH																															
PI 442258	2 – VINE		9 – EXCELLENT	7 – VARIABLE	14	3	3	18	8 – LATE	5 – DARK ORANGE	9 – PRONOUNCED	9 – EXCELLENT	6 – GREEN	9 – FURROWED				2 – SOMEWHAT UNIFORM																											
PI 442260																							12.67; 14.95; 15.3; 15.91; 19.62	14.95; 12.67; 15.91; 15.3; 19.62																					
PI 442269	2 – VINE	8 – (1 = POOR, 9 = EXCELLENT)	9 – EXCELLENT	4 – ROUND	13	1	3	10		3 – PALE ORANGE	1 – SLIGHT	1 – POOR	1 – ORANGE	9 – FURROWED				1 – VERY UNIFORM																											
PI 449345	2 – VINE			9 – PEAR	24	3	4	14		3 – PALE ORANGE	5 – (1 = SLIGHT, 9 = PRONOUNCED)	5 – (1 = POOR, 9 = EXCELLENT)	6 – GREEN	9 – FURROWED	3 – VARIABLE	2 – SOMEWHAT UNIFORM	3 – VARIABLE	3 – VARIABLE																											
PI 449346	2 – VINE		9 – EXCELLENT	7 – VARIABLE	22	3	2	16	8 – LATE	3 – PALE ORANGE	9 – PRONOUNCED	2 – (1 = POOR, 9 = EXCELLENT)	6 – GREEN	9 – FURROWED				2 – SOMEWHAT UNIFORM																											
PI 449348	2 – VINE			7 – VARIABLE	40	5	3	12		7 – BROWNISH	5 – (1 = SLIGHT, 9 = PRONOUNCED)	5 – (1 = POOR, 9 = EXCELLENT)	6 – GREEN	9 – FURROWED	3 – VARIABLE	2 – SOMEWHAT UNIFORM	3 – VARIABLE	2 – SOMEWHAT UNIFORM																											
PI 458650			8 – (1 = POOR,  9 = EXCELLENT)		30		4	24		3 – PALE ORANGE	9 – PRONOUNCED	1 – POOR	5 – GREEN									2 – (1 = SLIGHT,  9 = SEVERE)			5 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	69																	9 – SEVERE
PI 458728	2 – VINE			6 – OVAL	24	5	3	22		5 – DARK ORANGE	5 – (1 = SLIGHT, 9 = PRONOUNCED)	5 – (1 = POOR, 9 = EXCELLENT)	6 – GREEN	9 – FURROWED	3 – VARIABLE	2 – SOMEWHAT UNIFORM	2 – SOMEWHAT UNIFORM	2 – SOMEWHAT UNIFORM																											
PI 482487				4 – ROUND	17			18	1 – EARLY				5 – GREEN STRIPED	9 – FURROWED					9																										
PI 482488				5 – OBLATE	12			16	1 – EARLY				1 – ORANGE	9 – FURROWED					9																										
PI 482489				4 – ROUND	14			14	1 – EARLY				1 – ORANGE	9 – FURROWED					5																										
PI 482490				7 – VARIABLE					1 – EARLY				5 – GREEN STRIPED	1 – SMOOTH					3																										
PI 482491				7 – VARIABLE					1 – EARLY				5 – GREEN STRIPED	1 – SMOOTH					8																										
PI 482492				7 – VARIABLE					1 – EARLY				9 – VARIABLE	1 – SMOOTH					3																										
PI 482493				6 – OVAL					5 – MIDSEASON				5 – GREEN STRIPED	1 – SMOOTH					2																										
PI 482495				4 – ROUND	15			14	5 – MIDSEASON				5 – GREEN STRIPED	1 – SMOOTH					3																										
PI 482496				7 – VARIABLE					1 – EARLY				5 – GREEN STRIPED	1 – SMOOTH					5																										
PI 482497									5 – MIDSEASON										2																										
PI 482498									8 – LATE										3																										
PI 482499									8 – LATE										5																										
PI 482500				5 – OBLATE	22			26	5 – MIDSEASON				5 – GREEN STRIPED	9 – FURROWED					10																										
PI 482501				5 – OBLATE	10			15	5 – MIDSEASON				1 – ORANGE	9 – FURROWED					5																										
PI 482502									5 – MIDSEASON										3																										
PI 482503				4 – ROUND	13			13	5 – MIDSEASON				5 – GREEN STRIPED	1 – SMOOTH					2																										
PI 482504				7 – VARIABLE					1 – EARLY				9 – VARIABLE						2																										
PI 482505				4 – ROUND	12			12	5 – MIDSEASON				5 – GREEN STRIPED	1 – SMOOTH					2																										
PI 482506				7 – VARIABLE					1 – EARLY				9 – VARIABLE						2																										
PI 482507				4 – ROUND					8 – LATE				5 – GREEN STRIPED	1 – SMOOTH																															
PI 482508				4 – ROUND	11			12	5 – MIDSEASON				5 – GREEN STRIPED	1 – SMOOTH					3																										
PI 482509				7 – VARIABLE					5 – MIDSEASON				9 – VARIABLE	1 – SMOOTH																															
PI 482510									8 – LATE										3																										
PI 482511				4 – ROUND	13			13	5 – MIDSEASON				5 – GREEN STRIPED	1 – SMOOTH					2																										
PI 482512				4 – ROUND	11			12	5 – MIDSEASON				5 – GREEN STRIPED	1 – SMOOTH					2				8.62; 14.25	14.25; 8.62																					
PI 482513				4 – ROUND					5 – MIDSEASON				5 – GREEN STRIPED	1 – SMOOTH					7																										
PI 482514				4 – ROUND	17			18	5 – MIDSEASON				5 – GREEN STRIPED	1 – SMOOTH					5																										
PI 482515				7 – VARIABLE					5 – MIDSEASON				5 – GREEN STRIPED	1 – SMOOTH					5																										
PI 482516				7 – VARIABLE					5 – MIDSEASON				9 – VARIABLE						5																										
PI 482517				4 – ROUND	10			11	5 – MIDSEASON				5 – GREEN STRIPED	1 – SMOOTH					2																										
PI 482518				4 – ROUND	16			17	5 – MIDSEASON				5 – GREEN STRIPED	1 – SMOOTH																															
PI 482519				5 – OBLATE	16			24	5 – MIDSEASON				5 – GREEN STRIPED	9 – FURROWED																															
PI 482520				6 – OVAL	18			13	5 – MIDSEASON				5 – GREEN STRIPED	1 – SMOOTH					3																										
PI 482521				7 – VARIABLE					5 – MIDSEASON				5 – GREEN STRIPED	1 – SMOOTH					2																										
PI 482522				5 – OBLATE					5 – MIDSEASON				5 – GREEN STRIPED	1 – SMOOTH					4																										
PI 482524				7 – VARIABLE					5 – MIDSEASON				9 – VARIABLE																																
PI 482525				5 – OBLATE	14			20	1 – EARLY				1 – ORANGE	9 – FURROWED					4																										
PI 482526				6 – OVAL	20			16	1 – EARLY				1 – ORANGE	9 – FURROWED					3																										
PI 482529	2 – VINE		3 – (1 = POOR, 9 = EXCELLENT)	6 – OVAL; 1 – OBLONG	10; 26	2.8	4	10; 20	1 – EARLY	3 – PALE ORANGE	1 – SLIGHT	8 – (1 = POOR, 9 = EXCELLENT)	1 – ORANGE	9 – FURROWED; 1 – SMOOTH	1 – VERY UNIFORM	1 – VERY UNIFORM	1 – VERY UNIFORM	1 – VERY UNIFORM	2																										
PI 482530				4 – ROUND	12			10	1 – EARLY				2 – YELLOW	1 – SMOOTH																															
PI 482531				6 – OVAL	14			14	1 – EARLY				1 – ORANGE	9 – FURROWED					6																										
PI 482532				5 – OBLATE	13			18	1 – EARLY				1 – ORANGE	9 – FURROWED					5																										
PI 482533				5 – OBLATE	12			17	1 – EARLY				1 – ORANGE	9 – FURROWED					3																										
PI 482534				7 – VARIABLE					1 – EARLY				1 – ORANGE	9 – FURROWED					4																										
PI 482535				5 – OBLATE	14			18	1 – EARLY				1 – ORANGE	9 – FURROWED					5																										
PI 482536				5 – OBLATE	10			14	1 – EARLY				1 – ORANGE	9 – FURROWED					4																										
PI 482537				6 – OVAL	13			10	1 – EARLY				1 – ORANGE	9 – FURROWED					5																										
PI 482538				4 – ROUND	18			18	1 – EARLY				1 – ORANGE	9 – FURROWED					7																										
PI 482540				4 – ROUND	12			12	1 – EARLY				2 – YELLOW	1 – SMOOTH					5																										
PI 482541	2 – VINE	7 – (1 = POOR, 9 = EXCELLENT)	9 – EXCELLENT	5 – OBLATE; 4 – ROUND	14; 17	1	3	14; 16	1 – EARLY	3 – PALE ORANGE	1 – SLIGHT	7 – (1 = POOR, 9 = EXCELLENT)	1 – ORANGE	9 – FURROWED				1 – VERY UNIFORM	4																										
PI 482542				7 – VARIABLE					1 – EARLY				2 – YELLOW						4																										
PI 482544				6 – OVAL	14			14	1 – EARLY				2 – YELLOW	9 – FURROWED					3																										
PI 482545	2 – VINE		5 – (1 = POOR, 9 = EXCELLENT)	7 – VARIABLE	17	2	3	19		4 – MEDIUM ORANGE	3 – (1 = SLIGHT, 9 = PRONOUNCED)	5 – (1 = POOR, 9 = EXCELLENT)	7 – TAN	9 – FURROWED	1 – VERY UNIFORM	1 – VERY UNIFORM	2 – SOMEWHAT UNIFORM	1 – VERY UNIFORM																											
PI 482546				6 – OVAL	21			23	1 – EARLY				1 – ORANGE	9 – FURROWED					3																										
PI 482547				6 – OVAL	20			16	1 – EARLY				2 – YELLOW	1 – SMOOTH					4																										
PI 482548				7 – VARIABLE					1 – EARLY										4																										
PI 482549				5 – OBLATE	13			18	1 – EARLY				1 – ORANGE	9 – FURROWED					4																										
PI 482550																			3																										
PI 482551				6 – OVAL	19			14	1 – EARLY				1 – ORANGE	9 – FURROWED					4																										
PI 482552				5 – OBLATE	15			19	1 – EARLY				1 – ORANGE	9 – FURROWED					6																										
PI 482553				5 – OBLATE	10			15	1 – EARLY				1 – ORANGE	9 – FURROWED					7																										
PI 482554				7 – VARIABLE					1 – EARLY				1 – ORANGE						5																										
PI 482555				6 – OVAL	15			13	1 – EARLY				1 – ORANGE	1 – SMOOTH					3																										
PI 482556				5 – OBLATE	15			23	1 – EARLY				1 – ORANGE	9 – FURROWED					4																										
PI 482558				1 – OBLONG	23			12	1 – EARLY				1 – ORANGE	9 – FURROWED					6																										
PI 482559				7 – VARIABLE					1 – EARLY				1 – ORANGE						7																										
PI 482560				7 – VARIABLE					1 – EARLY				1 – ORANGE						6																										
PI 482562																			2																										
PI 482563				6 – OVAL	15			14	1 – EARLY				1 – ORANGE	9 – FURROWED					4																										
PI 482564	2 – VINE	7 – (1 = POOR, 9 = EXCELLENT)	9 – EXCELLENT	5 – OBLATE	15	1	2	14		4 – MEDIUM ORANGE	1 – SLIGHT	6 – (1 = POOR, 9 = EXCELLENT)	1 – ORANGE	9 – FURROWED				1 – VERY UNIFORM																											
PI 482565	2 – VINE		7 – (1 = POOR, 9 = EXCELLENT)	5 – OBLATE	13	2	3	23		5 – DARK ORANGE	7 – (1 = SLIGHT, 9 = PRONOUNCED)	3 – (1 = POOR, 9 = EXCELLENT)	1 – ORANGE	9 – FURROWED	3 – VARIABLE	1 – VERY UNIFORM	1 – VERY UNIFORM	1 – VERY UNIFORM																											
PI 482566				6 – OVAL	14			13	1 – EARLY				1 – ORANGE	9 – FURROWED					3																										
PI 482567				4 – ROUND	20			20	1 – EARLY				1 – ORANGE	1 – SMOOTH					8																										
PI 482568				4 – ROUND	12			13	1 – EARLY				1 – ORANGE	9 – FURROWED					4																										
PI 482569				6 – OVAL	16			16	1 – EARLY				1 – ORANGE	9 – FURROWED					5																										
PI 482570				7 – VARIABLE					1 – EARLY				1 – ORANGE	9 – FURROWED					5																										
PI 482571				5 – OBLATE	11			16	1 – EARLY				2 – YELLOW	9 – FURROWED					3																										
PI 482572				5 – OBLATE	14			18	5 – MIDSEASON				1 – ORANGE	9 – FURROWED					7																										
PI 482573	2 – VINE	7 – (1 = POOR, 9 = EXCELLENT)	9 – EXCELLENT	5 – OBLATE	20	2	4	18		3 – PALE ORANGE	1 – SLIGHT	4 – (1 = POOR, 9 = EXCELLENT)	1 – ORANGE	9 – FURROWED				1 – VERY UNIFORM																											
PI 482574																			6																										
PI 482575				5 – OBLATE	13			19	1 – EARLY				5 – GREEN STRIPED	9 – FURROWED					6																										
PI 482576				5 – OBLATE	12			17					5 – GREEN STRIPED	9 – FURROWED					6																										
PI 482577				7 – VARIABLE					1 – EARLY				1 – ORANGE						4																										
PI 482578				6 – OVAL	20			16	1 – EARLY				1 – ORANGE	1 – SMOOTH					3																										
PI 482579				5 – OBLATE	9			12					1 – ORANGE	9 – FURROWED					4																										
PI 482580																			10																										
PI 482581				5 – OBLATE	11			15					1 – ORANGE	9 – FURROWED					3																										
PI 482582				5 – OBLATE	13			17					1 – ORANGE	9 – FURROWED					5																										
PI 482583				4 – ROUND	12			13	1 – EARLY				1 – ORANGE	1 – SMOOTH					2																										
PI 482584				4 – ROUND	14			15	1 – EARLY				1 – ORANGE	9 – FURROWED					2																										
PI 482585	2 – VINE	7 – (1 = POOR, 9 = EXCELLENT)	9 – EXCELLENT	4 – ROUND	22	2	5	21		3 – PALE ORANGE	1 – SLIGHT	9 – EXCELLENT	1 – ORANGE	9 – FURROWED				1 – VERY UNIFORM	3																										
PI 482586				7 – VARIABLE					1 – EARLY				1 – ORANGE	1 – SMOOTH					5																										
PI 482587				5 – OBLATE	10			14	1 – EARLY				1 – ORANGE	9 – FURROWED					5																										
PI 482588	2 – VINE		7 – (1 = POOR, 9 = EXCELLENT)	7 – VARIABLE	18	1.9	3	17		4 – MEDIUM ORANGE	2 – (1 = SLIGHT, 9 = PRONOUNCED)	3 – (1 = POOR, 9 = EXCELLENT)	1 – ORANGE	9 – FURROWED	1 – VERY UNIFORM	1 – VERY UNIFORM	2 – SOMEWHAT UNIFORM	1 – VERY UNIFORM	6																										
PI 487460																			4																										
PI 487461																			5																										
PI 489693																			4																										
PI 489694	2 – VINE		9 – EXCELLENT	8 – ACORN	14	2.2	3	17		5 – DARK ORANGE	2 – (1 = SLIGHT, 9 = PRONOUNCED)	8 – (1 = POOR, 9 = EXCELLENT)	7 – TAN	9 – FURROWED	1 – VERY UNIFORM	1 – VERY UNIFORM	1 – VERY UNIFORM	1 – VERY UNIFORM	7																										
PI 489695	2 – VINE		8 – (1 = POOR, 9 = EXCELLENT)	7 – VARIABLE	15	1.3	2.5	13		M – MIXED	M – MIXED	8 – (1 = POOR, 9 = EXCELLENT)	9 – VARIABLE	9 – FURROWED	2 – SOMEWHAT UNIFORM	3 – VARIABLE	3 – VARIABLE	2 – SOMEWHAT UNIFORM	6																										
PI 490020				1 – OBLONG	33			18	1 – EARLY				1 – ORANGE	9 – FURROWED					5																										
PI 490351			7 – (1 = POOR,  9 = EXCELLENT)		16		2.5	19		1 – YELLOW		4 – (1 = POOR,  9 = EXCELLENT)										7 – (1 = SLIGHT,  9 = SEVERE)			2 – (1 = SLIGHT,  9 = PRONOUNCED)	9 – EXCELLENT	2 – VINE	66																	5 – (1 = SLIGHT,  9 = SEVERE)
PI 490354			5 – (1 = POOR,  9 = EXCELLENT)									4 – (1 = POOR,  9 = EXCELLENT)										5 – (1 = SLIGHT,  9 = SEVERE)				7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	58																	8 – (1 = SLIGHT,  9 = SEVERE)
PI 494826			6 – (1 = POOR,  9 = EXCELLENT)									2 – (1 = POOR,  9 = EXCELLENT)														4 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	67																	7 – (1 = SLIGHT,  9 = SEVERE)
PI 494827			7 – (1 = POOR,  9 = EXCELLENT)		15		2	14		4 – MEDIUM ORANGE	3 – (1 = SLIGHT,  9 = PRONOUNCED)		5 – GREEN									1 – SLIGHT			3 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE																		7 – (1 = SLIGHT,  9 = SEVERE)
PI 494830			8 – (1 = POOR,  9 = EXCELLENT)		12		2.4	16		5 – DARK ORANGE	6 – (1 = SLIGHT,  9 = PRONOUNCED)	1 – POOR										5 – (1 = SLIGHT,  9 = SEVERE)			4 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	64																	6 – (1 = SLIGHT,  9 = SEVERE)
PI 494831			8 – (1 = POOR,  9 = EXCELLENT)		21		4	26		4 – MEDIUM ORANGE	4 – (1 = SLIGHT,  9 = PRONOUNCED)	1 – POOR	1 – GRAY									1 – SLIGHT			4 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	68																	7 – (1 = SLIGHT,  9 = SEVERE)
PI 494832	2 – VINE		3 – (1 = POOR, 9 = EXCELLENT)	4 – ROUND	20	2.9	4	20		4 – MEDIUM ORANGE	1 – SLIGHT	7 – (1 = POOR, 9 = EXCELLENT)	1 – ORANGE	9 – FURROWED	1 – VERY UNIFORM	1 – VERY UNIFORM	1 – VERY UNIFORM	1 – VERY UNIFORM																											
PI 494833			8 – (1 = POOR,  9 = EXCELLENT)		17		2.1	15		4 – MEDIUM ORANGE			5 – GREEN									1 – SLIGHT			2 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE																		5 – (1 = SLIGHT,  9 = SEVERE)
PI 494834			7 – (1 = POOR,  9 = EXCELLENT)		18		2.5	16		4 – MEDIUM ORANGE	5 – (1 = SLIGHT,  9 = PRONOUNCED)		5 – GREEN									3 – (1 = SLIGHT,  9 = SEVERE)			2 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE																		5 – (1 = SLIGHT,  9 = SEVERE)
PI 494835			8 – (1 = POOR,  9 = EXCELLENT)		22		3.2	19		3 – PALE ORANGE	2 – (1 = SLIGHT,  9 = PRONOUNCED)											2 – (1 = SLIGHT,  9 = SEVERE)			5 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	64																	7 – (1 = SLIGHT,  9 = SEVERE)
PI 494836			7 – (1 = POOR,  9 = EXCELLENT)		12		1.5	12		3 – PALE ORANGE												2 – (1 = SLIGHT,  9 = SEVERE)			1 – SLIGHT	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE																		7 – (1 = SLIGHT,  9 = SEVERE)
PI 494837			7 – (1 = POOR,  9 = EXCELLENT)		20		2.3	16		4 – MEDIUM ORANGE	7 – (1 = SLIGHT,  9 = PRONOUNCED)		5 – GREEN									3 – (1 = SLIGHT,  9 = SEVERE)			4 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	79																	6 – (1 = SLIGHT,  9 = SEVERE)
PI 494839			6 – (1 = POOR,  9 = EXCELLENT)		17		2.9	17		2 – YELLOW-ORANGE	3 – (1 = SLIGHT,  9 = PRONOUNCED)	1 – POOR	5 – GREEN									2 – (1 = SLIGHT,  9 = SEVERE)			2 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	68																	7 – (1 = SLIGHT,  9 = SEVERE)
PI 494840			6 – (1 = POOR,  9 = EXCELLENT)		13		2.8	16		4 – MEDIUM ORANGE	1 – SLIGHT	2 – (1 = POOR,  9 = EXCELLENT)										2 – (1 = SLIGHT,  9 = SEVERE)			2 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	72																	5 – (1 = SLIGHT,  9 = SEVERE)
PI 494841			7 – (1 = POOR,  9 = EXCELLENT)		14		2.7	22		5 – DARK ORANGE		2 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN									2 – (1 = SLIGHT,  9 = SEVERE)			3 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	66																	6 – (1 = SLIGHT,  9 = SEVERE)
PI 494842			7 – (1 = POOR,  9 = EXCELLENT)		15		2.5	15		4 – MEDIUM ORANGE	5 – (1 = SLIGHT,  9 = PRONOUNCED)	2 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN									2 – (1 = SLIGHT,  9 = SEVERE)			3 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	64																	5 – (1 = SLIGHT,  9 = SEVERE)
PI 494843			7 – (1 = POOR,  9 = EXCELLENT)		16		3	22		5 – DARK ORANGE	7 – (1 = SLIGHT,  9 = PRONOUNCED)	1 – POOR	5 – GREEN									2 – (1 = SLIGHT,  9 = SEVERE)			2 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	68																	7 – (1 = SLIGHT,  9 = SEVERE)
PI 494844																			4																										
PI 494845				5 – OBLATE	9			13					1 – ORANGE	9 – FURROWED					4																										
PI 494846				1 – OBLONG	22			14	1 – EARLY				5 – GREEN STRIPED	9 – FURROWED					5																										
PI 494847																			4																										
PI 494848																			3																										
PI 494849																			6																										
PI 494850				5 – OBLATE	12			16					1 – ORANGE	9 – FURROWED					4																										
PI 498429	2 – VINE		9 – EXCELLENT	7 – VARIABLE	27	5.8	5	20		M – MIXED	M – MIXED	8 – (1 = POOR, 9 = EXCELLENT)	9 – VARIABLE	M – MIXED	2 – SOMEWHAT UNIFORM	2 – SOMEWHAT UNIFORM	2 – SOMEWHAT UNIFORM	3 – VARIABLE	6																										
PI 500536				5 – OBLATE	12			17					1 – ORANGE	9 – FURROWED					3																										
PI 500537				5 – OBLATE	10			13					1 – ORANGE	9 – FURROWED					4																										
PI 500538																			4																										
PI 500539																			3																										
PI 500540				4 – ROUND	10			12	5 – MIDSEASON				5 – GREEN STRIPED	1 – SMOOTH					5																										
PI 500541																			6																										
PI 500542				4 – ROUND	8			10	5 – MIDSEASON				1 – ORANGE	1 – SMOOTH					7																										
PI 500555	2 – VINE		7 – (1 = POOR, 9 = EXCELLENT)	1 – OBLONG	17	4.6	5	30		4 – MEDIUM ORANGE	7 – (1 = SLIGHT, 9 = PRONOUNCED)	8 – (1 = POOR, 9 = EXCELLENT)	1 – ORANGE	9 – FURROWED	1 – VERY UNIFORM	1 – VERY UNIFORM	1 – VERY UNIFORM	1 – VERY UNIFORM																											
PI 500558				5 – OBLATE	13			25	8 – LATE				9 – VARIABLE	9 – FURROWED																															
PI 500559			9 – EXCELLENT	M – MIXED	21	3.5	4	23		M – MIXED	M – MIXED	8 – (1 = POOR, 9 = EXCELLENT)	M – MIXED	9 – FURROWED	3 – VARIABLE	2 – SOMEWHAT UNIFORM	3 – VARIABLE	1 – VERY UNIFORM																											
PI 506441																							13.82; 15.4	15.4; 13.82																					
PI 510635																							12; 14.29	12; 14.29																					
PI 511900				7 – VARIABLE					1 – EARLY				9 – VARIABLE						7																										
PI 511948	2 – VINE		9 – EXCELLENT	7 – VARIABLE	8	4	3	16	8 – LATE	3 – PALE ORANGE	5 – (1 = SLIGHT, 9 = PRONOUNCED)	6 – (1 = POOR, 9 = EXCELLENT)	6 – GREEN	9 – FURROWED				2 – SOMEWHAT UNIFORM																											
PI 511949	2 – VINE			7 – VARIABLE	20	6	4	24		3 – PALE ORANGE	5 – (1 = SLIGHT, 9 = PRONOUNCED)		7 – TAN	9 – FURROWED	3 – VARIABLE	1 – VERY UNIFORM	3 – VARIABLE	1 – VERY UNIFORM																											
PI 511951	2 – VINE			8 – ACORN	20	8	3	30		5 – DARK ORANGE	5 – (1 = SLIGHT, 9 = PRONOUNCED)		6 – GREEN	9 – FURROWED	2 – SOMEWHAT UNIFORM	3 – VARIABLE	2 – SOMEWHAT UNIFORM	3 – VARIABLE																											
PI 511952	2 – VINE		9 – EXCELLENT	7 – VARIABLE	21	7	3	22	5 – MIDSEASON	5 – DARK ORANGE	3 – (1 = SLIGHT, 9 = PRONOUNCED)	6 – (1 = POOR, 9 = EXCELLENT)	6 – GREEN	9 – FURROWED				2 – SOMEWHAT UNIFORM																											
PI 511954	2 – VINE			5 – OBLATE	32	6	3	20		5 – DARK ORANGE	3 – (1 = SLIGHT, 9 = PRONOUNCED)		6 – GREEN	9 – FURROWED	2 – SOMEWHAT UNIFORM	2 – SOMEWHAT UNIFORM	2 – SOMEWHAT UNIFORM	2 – SOMEWHAT UNIFORM																											
PI 511955	2 – VINE			7 – VARIABLE	24	4	3	20		5 – DARK ORANGE	1 – SLIGHT		7 – TAN	9 – FURROWED	3 – VARIABLE	1 – VERY UNIFORM	2 – SOMEWHAT UNIFORM	2 – SOMEWHAT UNIFORM																											
PI 511964	2 – VINE	6 – (1 = POOR, 9 = EXCELLENT)	6 – (1 = POOR, 9 = EXCELLENT)	7 – VARIABLE	13	1.7	2.5	17	7 – (1 = EARLY, 8 = LATE)	4 – MEDIUM ORANGE	M – MIXED	3 – (1 = POOR, 9 = EXCELLENT)	5 – GREEN STRIPED	M – MIXED	3 – VARIABLE	2 – SOMEWHAT UNIFORM	3 – VARIABLE	3 – VARIABLE	15	3 – YELLOW/ORANGE	7 – CREAM																								
PI 512144	2 – VINE			7 – VARIABLE	28	9	4	25		8 – ORANGE WITH GREENISH OVERCAST	6 – (1 = SLIGHT, 9 = PRONOUNCED)		6 – GREEN	9 – FURROWED	3 – VARIABLE	2 – SOMEWHAT UNIFORM	3 – VARIABLE	2 – SOMEWHAT UNIFORM																											
