ACCESSION	100 SEEDWEIGHT                            	WEIGHOF100SEEDS	FLESHCOLOR	FRUITSHAPE	FRUITSKINTEXTURE	MINIMUMPLANTVIGOR	FRUITWIDTHMAXIMUM	SQUASHBUGNYMPH	CUCUMBERBEETLEINJURY	FLESHTHICKNESSMAXIMUM	FRUITLENGTHMINIMUM	FRUITWIDTHMINIMUM	FRUITLENGTHMAXIMUM	SQUASHBUGADULT	FRUITSURFACEPATTERN	FRUITSURFACECOLOR	PLANTTYPE	MAXIMUMPLANTVIGOR	FLESHTHICKNESSMINIMUM
PI 169450	17.51; 17.92; 19; 14.4; 16.64	14.4; 16.64; 17.51; 17.92; 19	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	15	3.3	3 – SEVERE DAMAGE	3			35	3.7	SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 169451	13.72; 25.82	13.72; 25.82	OR – ORANGE	OT – OBLATE	2 – RIBBED	1 – GOOD	25	5.7	2 – INTERMEDIATE DAMAGE	3			15	4.7	MO – MOTTLED	GN – GREEN	V – VINE	1 – GOOD	
PI 169452	20; 15.75	15.75; 20	OR – ORANGE	OT – OBLATE	2 – RIBBED; 4 – WARTY	1 – GOOD	23	4	3 – SEVERE DAMAGE	3			15	2.3	SP – SPECKLED	OR – ORANGE; GN – GREEN; CR – CREAM	V – VINE	1 – GOOD	
PI 169453	16.26; 17.82	16.26; 17.82	YE – YELLOW	OG – OBLONG	2 – RIBBED	1 – GOOD	13	2	4 – EXTREMELY SEVERE (PLANTS DEAD)	3			40	2	SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 169454	16.35; 13.7; 15.12; 13.2	13.2; 13.7; 15.12; 16.35	YE – YELLOW	OG – OBLONG	2 – RIBBED	1 – GOOD	14	1.3	2 – INTERMEDIATE DAMAGE	2	28	12	42	0.9		TN – TAN	S – SEMI-BUSH	1 – GOOD	
PI 169456	20.79; 18.96; 20.51	18.96; 20.51; 20.79	OR – ORANGE	GL – GLOBE	2 – RIBBED; 4 – WARTY	3 – MEDIUM	30	0.5	2 – INTERMEDIATE DAMAGE	3			23	0.5	SP – SPECKLED; MO – MOTTLED	GN – GREEN	V – VINE	3 – MEDIUM	
PI 169457	13.46; 15.2	13.46; 15.2	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	15	1.7	2 – INTERMEDIATE DAMAGE	3			40	2	MO – MOTTLED; SP – SPECKLED	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 169458	16.94; 13.3; 18	13.3; 16.94; 18	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	13	1.4	2 – INTERMEDIATE DAMAGE	3			48	4	SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 169459	20; 16.4	16.4; 20	YE – YELLOW	OG – OBLONG	2 – RIBBED	1 – GOOD	12	1	2 – INTERMEDIATE DAMAGE	2	25		43	3.7	MO – MOTTLED; SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 169460	9.14; 14.72; 12.75	9.14; 12.75; 14.72	OR – ORANGE	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	10	3	2 – INTERMEDIATE DAMAGE	3	30		33	8	SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 169461	17; 18.24	17; 18.24	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	5 – POOR	13	0.8	2 – INTERMEDIATE DAMAGE	3			51	1	SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	5 – POOR	
PI 169462	14.12; 15.27	14.12; 15.27	YE – YELLOW	OG – OBLONG	2 – RIBBED	1 – GOOD	15	1.7	2 – INTERMEDIATE DAMAGE	3	45	13	61	2.7	SO – SOLID COLOR; SP – SPECKLED; MO – MOTTLED	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 169463	17.62; 20.14	17.62; 20.14	OR – ORANGE	OT – OBLATE; GL – GLOBE	3 – WRINKLED; 2 – RIBBED	1 – GOOD	25	2.7	2 – INTERMEDIATE DAMAGE	4			23	2.7	MO – MOTTLED; ST – STRIPED; SP – SPECKLED	GN – GREEN	V – VINE	1 – GOOD	2
PI 169464	20.73; 18.44; 4.8; 10.97	4.8; 10.97; 18.44; 20.73	OR – ORANGE	GL – GLOBE	2 – RIBBED; 1 – SMOOTH	1 – GOOD	23	1.7	2 – INTERMEDIATE DAMAGE	3			20	2	ST – STRIPED; SP – SPECKLED; MO – MOTTLED	GN – GREEN; OR – ORANGE	V – VINE	1 – GOOD	2
PI 169465	14.67; 15.91; 16.29	14.67; 15.91; 16.29	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	12	3	2 – INTERMEDIATE DAMAGE	3	26	9	47	2	MO – MOTTLED; SP – SPECKLED	OR – ORANGE; YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 169467	16.12	16.12	OR – ORANGE	GL – GLOBE; OG – OBLONG; OT – OBLATE	2 – RIBBED	1 – GOOD	24	2	2 – INTERMEDIATE DAMAGE	4			19	1.9	MO – MOTTLED; SP – SPECKLED	GN – GREEN; GY – GRAY	V – VINE	1 – GOOD	3
PI 169468	21.98; 21.44	13.66; 14.51; 14.83; 16; 16.72; 17.35; 17.57; 19.01; 19.04; 21.35; 21.44; 21.98; 23.07; 23.29	OR – ORANGE	OT – OBLATE	1 – SMOOTH; 2 – RIBBED	3 – MEDIUM	30			4		26	20		MO – MOTTLED; SP – SPECKLED	YE – YELLOW; GY – GRAY	V – VINE	3 – MEDIUM	
PI 169469	15.87; 15.1; 10.94	10.94; 15.1; 15.87	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	16	1.3	1 – SLIGHT DAMAGE	3	29	7	58	2.7	SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	2
PI 169472	20.62; 18; 13.1; 16.4	13.1; 16.4; 18; 20.62	YE – YELLOW	OG – OBLONG	2 – RIBBED	1 – GOOD	13	1	2 – INTERMEDIATE DAMAGE	3			33	3	SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 169473	22.88; 17.84	17.84; 22.88	OR – ORANGE	GL – GLOBE; OG – OBLONG	2 – RIBBED; 1 – SMOOTH; 4 – WARTY	3 – MEDIUM	24	1.9	2 – INTERMEDIATE DAMAGE	4	17	17	23	4.5	SO – SOLID COLOR; SP – SPECKLED; MO – MOTTLED	GN – GREEN; OR – ORANGE	V – VINE	3 – MEDIUM	
PI 169474	14.55; 12.25; 12.57; 17.21; 12.16	12.16; 12.25; 12.57; 14.55; 17.21	YE – YELLOW	OG – OBLONG	2 – RIBBED	1 – GOOD	12	0.9	1 – SLIGHT DAMAGE	2			35	1.6	SP – SPECKLED; SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 169475	14.4; 15.48	14.4; 15.48	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	13	1.3	2 – INTERMEDIATE DAMAGE	3	21	8	34	2.7	SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	2
PI 169476	14.41; 15.71	14.41; 15.71	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	13	0.7	2 – INTERMEDIATE DAMAGE	2	13	8	34	3.7	SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 169477	14.52; 15.93	14.52; 15.93	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	13	0.6	2 – INTERMEDIATE DAMAGE	3			43	0.8	SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 169478	14.58; 16.32; 18.59	14.58; 16.32; 18.59	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	18	30.1	2 – INTERMEDIATE DAMAGE	3		13	43	8.3	SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 171621	11.6; 11.54; 17.48; 13.85	11.54; 11.6; 13.85; 17.48	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	13	0.4	2 – INTERMEDIATE DAMAGE	3	24	10	36	0.6	SO – SOLID COLOR	CR – CREAM	S – SEMI-BUSH	1 – GOOD	2
PI 171622	18.89; 15.72; 12.24	12.24; 15.72; 18.89	WH – WHITE; OR – ORANGE	OG – OBLONG; GL – GLOBE	2 – RIBBED; 1 – SMOOTH	1 – GOOD	23	0.8	2 – INTERMEDIATE DAMAGE	4			20	1.2	MO – MOTTLED	GN – GREEN; GY – GRAY	V – VINE	1 – GOOD	3
PI 171623	13.25; 21.28; 18.99; 24.27	13.25; 18.99; 21.28; 24.27	OR – ORANGE	OT – OBLATE	2 – RIBBED; 1 – SMOOTH	1 – GOOD	30	1	2 – INTERMEDIATE DAMAGE	4	15	23	28	2.1	SP – SPECKLED	GY – GRAY; GN – GREEN	V – VINE	1 – GOOD	2
PI 171625	11; 14; 16.1; 18.15; 11.08; 12.24	11; 11.08; 12.24; 14; 16.1; 18.15	CR – CREAM	OG – OBLONG	2 – RIBBED; 1 – SMOOTH; 4 – WARTY	1 – GOOD	13	1	2 – INTERMEDIATE DAMAGE	3	23	9	42	1.3	SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 171626	15.79; 13.8; 12.84; 22.32; 12.12; 11.2	11.2; 12.12; 12.84; 13.8; 15.79; 22.32	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	14	1.6	2 – INTERMEDIATE DAMAGE	3	30	10	44	4	SP – SPECKLED; SO – SOLID COLOR; MO – MOTTLED	GN – GREEN; YE – YELLOW; TN – TAN	S – SEMI-BUSH	1 – GOOD	
PI 171627	15; 16.64	15; 16.64	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	3 – MEDIUM	15	1.7	2 – INTERMEDIATE DAMAGE	4	37	11	58	1.6	SO – SOLID COLOR	TN – TAN; YE – YELLOW	S – SEMI-BUSH	3 – MEDIUM	3
PI 171628	17.65; 16; 14.8	14.8; 16; 17.65	YE – YELLOW	OG – OBLONG; GL – GLOBE	1 – SMOOTH; 2 – RIBBED	3 – MEDIUM	20	2.2	2 – INTERMEDIATE DAMAGE	3	19	19	68	1.5	SO – SOLID COLOR	YE – YELLOW; GN – GREEN; GY – GRAY	V – VINE	3 – MEDIUM	2
PI 171629	12.88; 19; 13.2; 14.14	12; 12.88; 13.2; 14.14; 19	YE – YELLOW; OR – ORANGE	GL – GLOBE	1 – SMOOTH; 2 – RIBBED	1 – GOOD	20	1.9	2 – INTERMEDIATE DAMAGE	4	18	18	20	2.2	SO – SOLID COLOR; MO – MOTTLED; SP – SPECKLED	GN – GREEN; YE – YELLOW	V – VINE	1 – GOOD	3
PI 171630	24.52; 22.12	22.12; 24.52	OR – ORANGE	GL – GLOBE	2 – RIBBED; 1 – SMOOTH; 4 – WARTY	1 – GOOD	28			4			20		SO – SOLID COLOR	GN – GREEN	V – VINE	1 – GOOD	3
PI 171631	11.76; 10.92; 15; 12.2	10.92; 11.76; 12.2; 15	YE – YELLOW	GL – GLOBE; OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	23	1	2 – INTERMEDIATE DAMAGE	3	25	14	45	2	SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 171632	26.64; 21.11	21.11; 26.64	OR – ORANGE	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	23	0.7	2 – INTERMEDIATE DAMAGE	3			35	2.3	SP – SPECKLED; MO – MOTTLED	OR – ORANGE; GY – GRAY; GN – GREEN	V – VINE	1 – GOOD	
PI 171633	16.54; 18.98	16.54; 18.98	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	13			3	35		45		MO – MOTTLED; SO – SOLID COLOR; SP – SPECKLED	CR – CREAM	S – SEMI-BUSH	1 – GOOD	2
PI 171635	12.12; 16.68; 17.17	12.12; 16.68; 17.17	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	3 – MEDIUM	13	0.7	1 – SLIGHT DAMAGE	3	29	10	46	2.7	SO – SOLID COLOR	CR – CREAM	S – SEMI-BUSH	3 – MEDIUM	
PI 171636	26; 21.53	21.53; 26	OR – ORANGE	OB – OBOVATE	1 – SMOOTH; 2 – RIBBED	1 – GOOD	25			4	18	20	40		MO – MOTTLED	GN – GREEN	V – VINE	1 – GOOD	3
PI 172406	12.6; 16.7; 19.6; 14.6; 12.68	12.6; 12.68; 14.6; 16.7; 19.6	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	19	1.5	2 – INTERMEDIATE DAMAGE	3	35	13	40	2.4	MO – MOTTLED; SO – SOLID COLOR	GY – GRAY; GN – GREEN; YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 172857	16.99; 18.28	16.99; 18.28	CR – CREAM	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	14	3	2 – INTERMEDIATE DAMAGE	3	23	13	48	3.3	SO – SOLID COLOR	TN – TAN	S – SEMI-BUSH	1 – GOOD	
PI 172858	19.5; 17.22	17.22; 19.5	OR – ORANGE	OV – OVATE; OB – OBOVATE	2 – RIBBED; 4 – WARTY	3 – MEDIUM	18	0.6	2 – INTERMEDIATE DAMAGE	3	19	11	39	3	SP – SPECKLED; MO – MOTTLED	GN – GREEN	V – VINE	3 – MEDIUM	
PI 172860	29.09; 13.68; 18.74	13.68; 18.74; 29.09	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	12	2.3	2 – INTERMEDIATE DAMAGE	3			36	1.7	SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 172861	14; 12.3; 15.62; 14.36; 10.96; 15.54	10.96; 12.3; 14; 14.36; 15.54; 15.62	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	14	2	2 – INTERMEDIATE DAMAGE	3	32	12	47	1.7	SO – SOLID COLOR	CR – CREAM	S – SEMI-BUSH	1 – GOOD	
PI 172863	15.78; 15.5; 23	15.5; 15.78; 23	YE – YELLOW	OB – OBOVATE	4 – WARTY; 2 – RIBBED	1 – GOOD	18	4.3	3 – SEVERE DAMAGE	3			30	2	SP – SPECKLED	GN – GREEN; GY – GRAY; OR – ORANGE	V – VINE	1 – GOOD	
PI 172866	13; 12.08; 13.03	12.08; 13; 13.03	CR – CREAM	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	13	1.9	2 – INTERMEDIATE DAMAGE	3	20	10	38	2.7	SO – SOLID COLOR	CR – CREAM	S – SEMI-BUSH	1 – GOOD	
PI 172867	14.84; 14.48; 19; 13.81; 15.4; 15.78	13.81; 14.48; 14.84; 15.4; 15.78; 19	YE – YELLOW	OV – OVATE	1 – SMOOTH; 2 – RIBBED	1 – GOOD	20	1.8	1 – SLIGHT DAMAGE	4	19	15	27	1.2	MO – MOTTLED; SP – SPECKLED; ST – STRIPED	GN – GREEN	V – VINE	1 – GOOD	3
PI 172868	18.28; 17.33; 14.85	14.85; 17.33; 18.28	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	5 – POOR	13	1.1	1 – SLIGHT DAMAGE	3			33	1.4	SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	5 – POOR	2
PI 172870	15.25; 14.32; 17.2; 13.76; 13.42; 21	13.42; 13.76; 14.32; 15.25; 17.2; 21	OR – ORANGE	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	18	2.7	3 – SEVERE DAMAGE	4	33	13	45	1.3	SO – SOLID COLOR	CR – CREAM	S – SEMI-BUSH	1 – GOOD	3
PI 172871	16; 15.03; 10.64; 10.4; 11.09; 16.72	10.4; 10.64; 11.09; 15.03; 16; 16.72	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	15	2.7	2 – INTERMEDIATE DAMAGE	3	29	12	36	4	SO – SOLID COLOR	CR – CREAM	S – SEMI-BUSH	1 – GOOD	2
PI 172872	9.93; 10	9.93; 10	CR – CREAM	OB – OBOVATE	2 – RIBBED; 1 – SMOOTH	1 – GOOD	9	2	1 – SLIGHT DAMAGE	2	13		18	1.3	SO – SOLID COLOR	TN – TAN	V – VINE	1 – GOOD	
PI 172873	10.03; 10.12	10; 10.03; 10.12	WH – WHITE; OR – ORANGE	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	13	1.6	1 – SLIGHT DAMAGE	2			22	1.5	MO – MOTTLED; ST – STRIPED; SO – SOLID COLOR	GN – GREEN; BR – BROWN; YE – YELLOW	V – VINE	1 – GOOD	
PI 172874	18.8; 13	13; 18.8	OR – ORANGE; YE – YELLOW	OV – OVATE; OB – OBOVATE; OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	20	1.7	2 – INTERMEDIATE DAMAGE	4	15	13	35	1.2	SP – SPECKLED; MO – MOTTLED; SO – SOLID COLOR	YE – YELLOW; TN – TAN; GN – GREEN; OR – ORANGE	S – SEMI-BUSH	1 – GOOD	2
PI 172875	19.64; 21.15; 13.28; 18.76	13.28; 18.76; 19.64; 21.15	OR – ORANGE; CR – CREAM	OT – OBLATE; OB – OBOVATE	4 – WARTY; 2 – RIBBED	1 – GOOD	18	1.6	2 – INTERMEDIATE DAMAGE	3	14	17	33	1.7	SO – SOLID COLOR; MO – MOTTLED; ST – STRIPED	OR – ORANGE; GN – GREEN; CR – CREAM; TN – TAN	V – VINE	1 – GOOD	
PI 173680	20.47; 15.03	15.03; 20.47	OR – ORANGE	OG – OBLONG; GL – GLOBE	2 – RIBBED; 1 – SMOOTH	1 – GOOD	23			5	23	18	30		SO – SOLID COLOR; SP – SPECKLED	TN – TAN; GN – GREEN	V – VINE	1 – GOOD	3
PI 173681	8; 5.33	5.33; 8																	
PI 173683	12.57; 20.8	12.57; 20.8	OR – ORANGE	OB – OBOVATE	2 – RIBBED; 1 – SMOOTH	1 – GOOD	20	2	1 – SLIGHT DAMAGE	3	20	8	35	5	SP – SPECKLED; MO – MOTTLED; ST – STRIPED	GN – GREEN; YE – YELLOW	V – VINE	1 – GOOD	
PI 173684	11.9; 8.9; 11.32; 20; 17.08; 9.84	8.9; 9.84; 11.32; 11.9; 17.08; 20	CR – CREAM	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	14	3	4 – EXTREMELY SEVERE (PLANTS DEAD)	3	27	13	29	3	SO – SOLID COLOR	TN – TAN	B – BUSH	1 – GOOD	
PI 173685	20.73; 17; 10	10; 17; 20.73	YE – YELLOW	GL – GLOBE	2 – RIBBED	1 – GOOD	28	3	2 – INTERMEDIATE DAMAGE	4	20	23	25	4.7	MO – MOTTLED	YE – YELLOW; GN – GREEN	V – VINE	1 – GOOD	
PI 173686	16; 16.1	16; 16.1	OR – ORANGE	OG – OBLONG; OB – OBOVATE	2 – RIBBED; 1 – SMOOTH	1 – GOOD	23	58.9	1 – SLIGHT DAMAGE	4	28	15	30	6.4	ST – STRIPED; MO – MOTTLED; SP – SPECKLED; SO – SOLID COLOR	GN – GREEN; YE – YELLOW; TN – TAN	V – VINE	1 – GOOD	
PI 174178	3.66; 3.82	3.66; 3.82	WH – WHITE	OB – OBOVATE	1 – SMOOTH	1 – GOOD	4	1.8	1 – SLIGHT DAMAGE	1			6	1.8	SO – SOLID COLOR	YE – YELLOW	V – VINE	1 – GOOD	
PI 174179	13.97; 13.6; 7.24; 15.25	7.24; 13.6; 13.97; 15.25	YE – YELLOW	OB – OBOVATE	4 – WARTY; 2 – RIBBED	1 – GOOD	30	1	2 – INTERMEDIATE DAMAGE	5	33	20	35	95	MO – MOTTLED	GN – GREEN; YE – YELLOW	V – VINE	1 – GOOD	
PI 174180	15.42; 11.24	11.24; 15.42	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	15	1.8	2 – INTERMEDIATE DAMAGE	4	21	10	30	2.7	SO – SOLID COLOR	TN – TAN; YE – YELLOW; GN – GREEN; OR – ORANGE	S – SEMI-BUSH	1 – GOOD	2
PI 174182	9.52; 18; 14.44	9.52; 14.44; 17.92; 18	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	15	1.7	2 – INTERMEDIATE DAMAGE	2	38	13	51	4	SO – SOLID COLOR	TN – TAN	V – VINE	1 – GOOD	
PI 174183	17.86; 11.95; 15.4; 13.34; 15.11	11.95; 13.34; 15.11; 15.4; 17.86	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	16	2	2 – INTERMEDIATE DAMAGE	3	32	10	40	2.3	ST – STRIPED; SP – SPECKLED; SO – SOLID COLOR	TN – TAN; YE – YELLOW; GN – GREEN	V – VINE	1 – GOOD	2
PI 174184	18.26; 15; 13	13; 15; 18.26	OR – ORANGE	OG – OBLONG	2 – RIBBED	1 – GOOD	15	2	3 – SEVERE DAMAGE	3	33	13	38	2	SO – SOLID COLOR	TN – TAN	S – SEMI-BUSH	1 – GOOD	
PI 174185	17.59; 11.8; 12.88; 16.27; 9.12	9.12; 11.8; 12.88; 16.27; 17.59	CR – CREAM	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	18	1.3	2 – INTERMEDIATE DAMAGE	3		13	40	1.6	SO – SOLID COLOR	YE – YELLOW; GN – GREEN	S – SEMI-BUSH	1 – GOOD	
PI 174186	18.6; 13.02; 13.04; 13.3	13.02; 13.04; 13.3; 18.6	OR – ORANGE	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	15	3	4 – EXTREMELY SEVERE (PLANTS DEAD)	3	23	7	48	3	SO – SOLID COLOR	TN – TAN	V – VINE	1 – GOOD	
PI 174187	16.47; 13.92; 9.8; 8.8	8.8; 9.8; 13.92; 16.47	YE – YELLOW	OB – OBOVATE	1 – SMOOTH	1 – GOOD	10	0.9	2 – INTERMEDIATE DAMAGE	2	15	7	35	3.6	SO – SOLID COLOR	TN – TAN	V – VINE	1 – GOOD	
PI 174188	10.28; 9.76; 10.68; 12; 9.92	9.76; 9.92; 10.28; 10.68; 12	CR – CREAM	OG – OBLONG	1 – SMOOTH	1 – GOOD	9	1.1	1 – SLIGHT DAMAGE	2	14	6	19	1.1	ST – STRIPED; SO – SOLID COLOR; SP – SPECKLED; MO – MOTTLED	CR – CREAM	S – SEMI-BUSH; V – VINE	1 – GOOD	
PI 174189	15.18; 14.8; 12.14; 13.8; 14.4; 16.98	12.14; 13.8; 14.4; 14.8; 15.18; 16.98	YE – YELLOW	OG – OBLONG	1 – SMOOTH	1 – GOOD	15	1.3	2 – INTERMEDIATE DAMAGE	3	33	13	41	1.6	SO – SOLID COLOR	TN – TAN	V – VINE	1 – GOOD	
PI 174190	12; 9.1; 10.76	9.1; 10.76; 12	YE – YELLOW	OG – OBLONG	1 – SMOOTH	1 – GOOD	10	1.3	2 – INTERMEDIATE DAMAGE	1	18	7	23	3	SO – SOLID COLOR	TN – TAN	V – VINE	1 – GOOD	
PI 174192	18.99	18.99	YE – YELLOW	OB – OBOVATE; OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	23	77.1	1 – SLIGHT DAMAGE	3	25	7	43	5.7	SO – SOLID COLOR; SP – SPECKLED; MO – MOTTLED	GN – GREEN; YE – YELLOW; TN – TAN	S – SEMI-BUSH	1 – GOOD	
PI 174195	17.69; 17.7; 18	17.69; 17.7; 18	OR – ORANGE	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	13	0.7	2 – INTERMEDIATE DAMAGE	2	32	12	36	2.3	SO – SOLID COLOR	CR – CREAM	S – SEMI-BUSH	1 – GOOD	
PI 175130	19.12; 17.67; 18.34	17.67; 18.34; 19.12	OR – ORANGE	OG – OBLONG	1 – SMOOTH	1 – GOOD	18			4	25	15	33		SP – SPECKLED; MO – MOTTLED	GN – GREEN; OR – ORANGE	V – VINE	1 – GOOD	
PI 175704	14.9; 15.25; 11	11; 14.9; 15.25	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	13	3	3 – SEVERE DAMAGE	3	38	10	43	3	SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 175705	14.77; 16.78; 16.4	14; 14.77; 16.4; 16.78	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	15	0.7	1 – SLIGHT DAMAGE	3	43	13	45	1.4	SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 175706	13; 15.26	13; 15.26	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	12	0.8	2 – INTERMEDIATE DAMAGE	2	22	10	30	2	SO – SOLID COLOR	TN – TAN	V – VINE	1 – GOOD	
PI 175707	16.04	16; 16.04	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	12	1.1	2 – INTERMEDIATE DAMAGE	2	30		35	1.2	SO – SOLID COLOR	TN – TAN	S – SEMI-BUSH	1 – GOOD	
PI 175708	16.41	16.41	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	16	1		2	28	14	35	1.7	SO – SOLID COLOR	GN – GREEN; YE – YELLOW; TN – TAN	S – SEMI-BUSH	1 – GOOD	
PI 175709	17.63; 13.23; 9.02; 8.36	8.36; 9.02; 13.23; 17.63	OR – ORANGE	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	15	0.7	1 – SLIGHT DAMAGE	3	30	10	33	1.3	SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 175710	13; 17.41; 12.24	12.24; 13; 17.41	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	12	0.7	2 – INTERMEDIATE DAMAGE	3	30	7	45	1	SO – SOLID COLOR	YE – YELLOW; BR – BROWN	S – SEMI-BUSH	1 – GOOD	
PI 175711	19.74; 12.9; 14.2; 14.38	12.9; 14.2; 14.38; 19.74	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	13		2 – INTERMEDIATE DAMAGE	3	33	10	43	3.3	SO – SOLID COLOR	TN – TAN	S – SEMI-BUSH	1 – GOOD	
PI 175712	14.3; 16.8; 11.6	11.6; 14; 14.3; 16.8	OR – ORANGE	OG – OBLONG	2 – RIBBED	1 – GOOD	17	2.1	2 – INTERMEDIATE DAMAGE	2	20	12	30	2.4	MO – MOTTLED; SP – SPECKLED; ST – STRIPED	GN – GREEN; YE – YELLOW; TN – TAN	V – VINE	1 – GOOD	
PI 175713	16.35; 16.8	16.3; 16.35; 16.8	YE – YELLOW	OT – OBLATE; GL – GLOBE	2 – RIBBED; 1 – SMOOTH	1 – GOOD	23		2 – INTERMEDIATE DAMAGE	4	18	18	20	4.3	SP – SPECKLED; MO – MOTTLED; ST – STRIPED	GN – GREEN; YE – YELLOW	V – VINE	1 – GOOD	
