ACCESSION	FLESH COLOR	WATERMELON MOSAIC	DAYS TO POLLINATION	FLESH DEPTH	FRUIT DIAMETER	FRUIT LENGTH	FRUIT SET	PLANT HABIT	POWDERY MILDEW	FRUIT RIBBING	UNIFORMITY	FRUIT SPOTTING	PLANT VIGOR	FRUIT COLOR	CUCUMBER MOSAIC VIRUS	FRUIT SURFACE COLOR	FRUIT SKIN TEXTURE	MAXIMUM PLANT VIGOR	CUCUMBER BEETLE INJURY	MINIMUM PLANT VIGOR	FRUIT LENGTH MAXIMUM	SQUASHBUG NYMPH	PLANT TYPE	FLESH THICKNESS MAXIMUM	SQUASHBUG ADULT	FRUIT SHAPE	FRUIT WIDTH MAXIMUM	FRUIT SURFACE PATTERN	FRUIT LENGTH MINIMUM	FRUIT WIDTH MINIMUM	100 SEED WEIGHT	WEIGHT OF 100 SEEDS	VINE-LENGTH	FRUIT SURFACE	MATURITY	FLESH THICKNESS MINIMUM
PI 165005	5 – DARK ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	41	3.6	28	23	4 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	8 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)																							
PI 165027	4 – MEDIUM ORANGE			1.5	28	21	2 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	9 – SEVERE				7 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY																						
PI 165077	5 – DARK ORANGE		32	3.4	28	19	4 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		3 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)																							
PI 165558	4 – MEDIUM ORANGE; OR – ORANGE	9 – SEVERE	35	2.4	18	11	9 – EXCELLENT	2 – VINE	9 – SEVERE	5 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE		OR – ORANGE	1 – SMOOTH; 2 – RIBBED	1 – GOOD	1 – SLIGHT DAMAGE	1 – GOOD	7	94.3	V – VINE	3	27.5	OT – OBLATE	20	SO – SOLID COLOR; SP – SPECKLED; MO – MOTTLED								
PI 166046	2 – YELLOW-ORANGE	6 – (1 = SLIGHT,  9 = SEVERE)	43	1.5	25	25	9 – EXCELLENT	2 – VINE	5 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	7 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	9 – EXCELLENT	1 – GRAY	2 – (1 = SLIGHT,  9 = SEVERE)																					
PI 166198	3 – PALE ORANGE	4 – (1 = SLIGHT,  9 = SEVERE)	57	2.5	31	24	2 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	3 – (1 = SLIGHT,  9 = SEVERE)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)																							
PI 169404	4 – MEDIUM ORANGE	3 – (1 = SLIGHT,  9 = SEVERE)	51	3	28	26	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		4 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	9 – PRONOUNCED	7 – (1 = POOR,  9 = EXCELLENT)																							
PI 169405	5 – DARK ORANGE; OR – ORANGE			2	24	13	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		4 – (1 = SLIGHT,  9 = PRONOUNCED)				1 – GRAY		GY – GRAY	2 – RIBBED	1 – GOOD	0 – NO DAMAGE	1 – GOOD	18		V – VINE	7		OT – OBLATE	25	MO – MOTTLED								
PI 169406	4 – MEDIUM ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	41	1.5	32	25	3 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	6 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	7 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	9 – EXCELLENT	1 – GRAY	2 – (1 = SLIGHT,  9 = SEVERE)																					
PI 169407	4 – MEDIUM ORANGE	3 – (1 = SLIGHT,  9 = SEVERE)	44	4			7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		7 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)																							
PI 169411	4 – MEDIUM ORANGE	4 – (1 = SLIGHT,  9 = SEVERE)	46	2.4	30	15	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		8 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN																						
PI 169419	3 – PALE ORANGE	6 – (1 = SLIGHT,  9 = SEVERE)	41	1.5	28	20	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	4 – (1 = SLIGHT,  9 = SEVERE)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	4 – (1 = POOR,  9 = EXCELLENT)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	3 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY																						
PI 169433	4 – MEDIUM ORANGE	6 – (1 = SLIGHT,  9 = SEVERE)	44	2	30	23	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	5 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	5 – (1 = POOR,  9 = EXCELLENT)		8 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	2 – (1 = SLIGHT,  9 = SEVERE)																					
PI 169439	OR – ORANGE; 3 – PALE ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	52	1.5	28	19	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	3 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	5 – (1 = POOR,  9 = EXCELLENT)		5 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY		CR – CREAM; GY – GRAY	2 – RIBBED	1 – GOOD	2 – INTERMEDIATE DAMAGE	1 – GOOD	28	2.3	V – VINE	4	7.7	OT – OBLATE	33	MO – MOTTLED	20	18						
PI 169440	2 – YELLOW-ORANGE; OR – ORANGE	1 – SLIGHT	27	5	44	36	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)		7 – (1 = POOR,  9 = EXCELLENT)		7 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY		CR – CREAM	2 – RIBBED	1 – GOOD	1 – SLIGHT DAMAGE	1 – GOOD	38	0.3	V – VINE	8	1	OT – OBLATE; OV – OVATE; GL – GLOBE	40	SO – SOLID COLOR; SP – SPECKLED								
PI 169455	OR – ORANGE; 4 – MEDIUM ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	45				8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		7 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	9 – EXCELLENT	1 – GRAY		GN – GREEN; GY – GRAY; YE – YELLOW	1 – SMOOTH; 2 – RIBBED	1 – GOOD		1 – GOOD	20		V – VINE	4		OT – OBLATE	30	MO – MOTTLED; SP – SPECKLED; SO – SOLID COLOR								
PI 169466	5 – DARK ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	40	1.5	23	18	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	3 – (1 = SLIGHT,  9 = SEVERE)																					
PI 169470	5 – DARK ORANGE; OR – ORANGE	4 – (1 = SLIGHT,  9 = SEVERE)	48	1.5	28	20	3 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	4 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	5 – (1 = POOR,  9 = EXCELLENT)		3 – (1 = POOR,  9 = EXCELLENT); 9 – EXCELLENT	1 – GRAY	3 – (1 = SLIGHT,  9 = SEVERE)	WH – WHITE	1 – SMOOTH; 2 – RIBBED	3 – MEDIUM		3 – MEDIUM	45		V – VINE	3		GL – GLOBE; OG – OBLONG	30	SP – SPECKLED; SO – SOLID COLOR	30							
PI 169471	5 – DARK ORANGE	4 – (1 = SLIGHT,  9 = SEVERE)	46	1.5	23	19	4 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	4 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	3 – (1 = POOR,  9 = EXCELLENT)		7 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	2 – (1 = SLIGHT,  9 = SEVERE)																					
PI 171614	YE – YELLOW; 5 – DARK ORANGE	4 – (1 = SLIGHT,  9 = SEVERE)	44	3.5	25	18	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		7 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN		GN – GREEN; GY – GRAY	1 – SMOOTH; 2 – RIBBED	1 – GOOD		1 – GOOD	20		V – VINE	3		OT – OBLATE	28	MO – MOTTLED								
PI 171615	OR – ORANGE; 4 – MEDIUM ORANGE	1 – SLIGHT		3.5	37	22	4 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	3 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	6 – (1 = POOR,  9 = EXCELLENT)		6 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY		GY – GRAY	2 – RIBBED; 1 – SMOOTH	1 – GOOD	1 – SLIGHT DAMAGE	1 – GOOD	25	1	V – VINE	5	5.7	OT – OBLATE	38	SO – SOLID COLOR								
PI 171616	5 – DARK ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	56	1.5	27	20	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	3 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	7 – (1 = POOR,  9 = EXCELLENT)		9 – EXCELLENT	1 – GRAY	1 – SLIGHT																					
PI 171617	5 – DARK ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	52	1.5	21	17	3 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	4 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	2 – (1 = SLIGHT,  9 = SEVERE)																					
PI 171618	5 – DARK ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	43	1.5	20	16	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	4 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	7 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	2 – (1 = SLIGHT,  9 = SEVERE)																					
PI 171624	5 – DARK ORANGE	6 – (1 = SLIGHT,  9 = SEVERE)	52	1	21	13	2 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	3 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	2 – (1 = SLIGHT,  9 = SEVERE)																					
PI 172853	5 – DARK ORANGE	6 – (1 = SLIGHT,  9 = SEVERE)	60	2	17	13	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		8 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN																						
PI 172854	4 – MEDIUM ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	51	2.8	13	13	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	7 – (1 = POOR,  9 = EXCELLENT)		6 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN	1 – SLIGHT																					
PI 172869	2 – YELLOW-ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)	57	2	18	30	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	3 – (1 = POOR,  9 = EXCELLENT)		9 – EXCELLENT	1 – GRAY	2 – (1 = SLIGHT,  9 = SEVERE)																					
PI 173679	4 – MEDIUM ORANGE; OR – ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	50	3.5	24	18	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		6 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY		OR – ORANGE	2 – RIBBED	3 – MEDIUM		3 – MEDIUM	10		V – VINE	5		OT – OBLATE	25	SO – SOLID COLOR								
PI 174181	CR – CREAM; 6 – LIGHT GREEN	1 – SLIGHT		2.2	38	20	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	1 – SLIGHT	3 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY		GN – GREEN; BK – BLACK	1 – SMOOTH; 2 – RIBBED	1 – GOOD		1 – GOOD	30		V – VINE	5		GL – GLOBE	35	SO – SOLID COLOR								
PI 174184	OR – ORANGE															TN – TAN	2 – RIBBED	1 – GOOD	3 – SEVERE DAMAGE	1 – GOOD	38	2	S – SEMI-BUSH	3	2	OG – OBLONG	15	SO – SOLID COLOR	33	13	13; 18.26; 15	13; 15; 18.26				
PI 174191	3 – PALE ORANGE	6 – (1 = SLIGHT,  9 = SEVERE)	51	2	30	28	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	7 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY																						
PI 174821	OR – ORANGE; 3 – PALE ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	56	2	20	19	3 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	4 – (1 = SLIGHT,  9 = SEVERE)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	4 – (1 = POOR,  9 = EXCELLENT)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN	1 – SLIGHT	GY – GRAY; OR – ORANGE	2 – RIBBED; 1 – SMOOTH	1 – GOOD	1 – SLIGHT DAMAGE	1 – GOOD	25	1	V – VINE	5	6	OV – OVATE	21	MO – MOTTLED	15	15						
PI 174822	4 – MEDIUM ORANGE; OR – ORANGE	6 – (1 = SLIGHT,  9 = SEVERE)	66	2	17	30	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		4 – (1 = SLIGHT,  9 = PRONOUNCED)	9 – EXCELLENT; 2 – (1 = POOR,  9 = EXCELLENT)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	9 – EXCELLENT; 7 – (1 = POOR,  9 = EXCELLENT)			GY – GRAY; WH – WHITE	2 – RIBBED	1 – GOOD		1 – GOOD	53		V – VINE	3		OG – OBLONG; GL – GLOBE	25	MO – MOTTLED	20	20						
PI 174823	OR – ORANGE; 4 – MEDIUM ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	45	2.5	28	16	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	5 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	4 – (1 = POOR,  9 = EXCELLENT)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	4 – (1 = POOR,  9 = EXCELLENT)			OR – ORANGE; GN – GREEN		3 – MEDIUM	4 – EXTREMELY SEVERE (PLANTS DEAD)	3 – MEDIUM	30		V – VINE	3	1	OG – OBLONG	20									
PI 175124	4 – MEDIUM ORANGE	3 – (1 = SLIGHT,  9 = SEVERE)	55	2	28	24	4 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	5 – (1 = SLIGHT,  9 = SEVERE)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	9 – EXCELLENT	1 – GRAY	2 – (1 = SLIGHT,  9 = SEVERE)																					
PI 175125	5 – DARK ORANGE; OR – ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	63	3	20	38	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		3 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN		WH – WHITE; GY – GRAY	2 – RIBBED	1 – GOOD		1 – GOOD	40		V – VINE	3		OG – OBLONG	25	MO – MOTTLED		20						
PI 175126	4 – MEDIUM ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	47	2	28	35	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	6 – (1 = SLIGHT,  9 = SEVERE)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)		9 – EXCELLENT	1 – GRAY	3 – (1 = SLIGHT,  9 = SEVERE)																					
PI 175698	4 – MEDIUM ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)	57	1.5	30	25	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)		9 – EXCELLENT	2 – WHITE	2 – (1 = SLIGHT,  9 = SEVERE)																					
PI 175699	YE – YELLOW; 4 – MEDIUM ORANGE			4	28	18	9 – EXCELLENT	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)		9 – EXCELLENT; 8 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY		OR – ORANGE; GY – GRAY; TN – TAN	2 – RIBBED	1 – GOOD		1 – GOOD	44		V – VINE	4		OG – OBLONG; GL – GLOBE	23	SP – SPECKLED; MO – MOTTLED; SO – SOLID COLOR	23	18						
PI 175700	4 – MEDIUM ORANGE	9 – SEVERE	41	2.7	25	21	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT); 5 – (1 = POOR,  9 = EXCELLENT)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT); 9 – EXCELLENT																							
PI 175701	3 – PALE ORANGE			1.5	32	23	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	5 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT			7 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY																						
PI 175703	4 – MEDIUM ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	51	1.5	24	19	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)		3 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	1 – SLIGHT																					
PI 176527	4 – MEDIUM ORANGE; OR – ORANGE	4 – (1 = SLIGHT,  9 = SEVERE)	40	1	24	14	3 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	8 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	7 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	2 – (1 = POOR,  9 = EXCELLENT)	4 – TAN	5 – (1 = SLIGHT,  9 = SEVERE)	OR – ORANGE	2 – RIBBED; 4 – WARTY	1 – GOOD		1 – GOOD	13		V – VINE	4		OT – OBLATE	25	SO – SOLID COLOR								
PI 176528		8 – (1 = SLIGHT,  9 = SEVERE)	41	4	21	20	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	8 – (1 = SLIGHT,  9 = SEVERE)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)																							
PI 176529	3 – PALE ORANGE	9 – SEVERE	35	3	25	19	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	8 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	7 – (1 = POOR,  9 = EXCELLENT)																							
PI 176530	3 – PALE ORANGE	4 – (1 = SLIGHT,  9 = SEVERE)	42	1	23	21	3 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	4 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN	3 – (1 = SLIGHT,  9 = SEVERE)																					
PI 176960	OR – ORANGE; 3 – PALE ORANGE		34	3.7	40	22	4 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		4 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)			GY – GRAY	1 – SMOOTH	1 – GOOD	2 – INTERMEDIATE DAMAGE	1 – GOOD	30		V – VINE	8	2.7	GL – GLOBE	25	SO – SOLID COLOR	20							
PI 177365	OR – ORANGE	9 – SEVERE	34	3.5	26	21	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	8 – (1 = SLIGHT,  9 = SEVERE)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)			BK – BLACK; OR – ORANGE; GN – GREEN	1 – SMOOTH	1 – GOOD	2 – INTERMEDIATE DAMAGE	1 – GOOD	25	2.1	V – VINE	4	4.1	OT – OBLATE	35		20	30						
PI 177366	OR – ORANGE; 4 – MEDIUM ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)	52	4	26	20	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		6 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)			CR – CREAM; GY – GRAY	2 – RIBBED	1 – GOOD	2 – INTERMEDIATE DAMAGE	1 – GOOD	23		V – VINE	4	7	OT – OBLATE	28	SO – SOLID COLOR	18	25						
PI 177367	2 – YELLOW-ORANGE; YE – YELLOW	3 – (1 = SLIGHT,  9 = SEVERE)	42	3	30	20	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		5 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE		OR – ORANGE	2 – RIBBED; 4 – WARTY	1 – GOOD		1 – GOOD	23		V – VINE	3		OT – OBLATE	33	SO – SOLID COLOR; MO – MOTTLED	13	23						
PI 178889	4 – MEDIUM ORANGE			1.5	24	18	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	9 – SEVERE	2 – (1 = SLIGHT,  9 = PRONOUNCED)			8 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN																						
PI 178890	4 – MEDIUM ORANGE	9 – SEVERE	35	3.3	27	20	4 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	9 – SEVERE	7 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)																							
PI 178891	4 – MEDIUM ORANGE	3 – (1 = SLIGHT,  9 = SEVERE)	44	4			6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		7 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)																							
PI 178892	4 – MEDIUM ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	43	4.5	35	27	3 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		5 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN																						
PI 178893	4 – MEDIUM ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)	48	3	34	25	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		7 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	9 – EXCELLENT	1 – GRAY																						
PI 178894	3 – PALE ORANGE	8 – (1 = SLIGHT,  9 = SEVERE)	37	7.5	24	17	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	9 – SEVERE	3 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY																						
PI 178895	4 – MEDIUM ORANGE	4 – (1 = SLIGHT,  9 = SEVERE)	52	4	33	28	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		4 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)																							
PI 178899	4 – MEDIUM ORANGE	8 – (1 = SLIGHT,  9 = SEVERE)	49	3.5	23	20	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT); 5 – (1 = POOR,  9 = EXCELLENT)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	9 – EXCELLENT; 7 – (1 = POOR,  9 = EXCELLENT)																							
